"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.193541661E-2,6.957738730E0,-7.556906426E-1,-5.589001440E0,8.956457652E0
2.194341668E-2,3.250616870E0,-4.478359079E-1,8.217492691E-1,3.382652642E0
3.195241664E-2,-6.497227812E0,1.720875328E0,3.070528767E0,7.389420008E0
4.196041659E-2,-4.237858422E0,4.875004368E0,4.290511429E-2,6.459640272E0
5.196841666E-2,-3.326937945E0,3.505844910E0,2.064285519E0,5.255543675E0
6.197641662E-2,5.705169243E-1,1.571926864E0,2.100039488E0,2.684512894E0
7.198541670E-2,-1.839232620E0,2.394240097E0,7.454799423E-1,3.109807489E0
8.199250000E-2,-3.793169485E0,3.375494100E0,1.128539810E0,5.201509134E0
9.200049995E-2,-3.276105468E0,4.468629313E0,3.211705696E0,6.404417885E0
1.020095000E-1,-3.094853185E0,5.440924796E0,3.823465956E0,7.334894055E0
1.120175000E-1,-4.206336082E0,5.725486563E0,3.537025187E0,7.936309394E0
1.220254999E-1,-5.138338988E0,4.832074111E0,3.373668892E0,7.818766499E0
1.320345000E-1,-3.573358323E0,4.313824278E0,3.596094929E0,6.656565807E0
1.420425000E-1,-2.717314257E0,5.005242911E0,1.283336659E0,5.838082421E0
1.520504999E-1,-3.664669028E0,3.145337167E0,-2.267233311E0,5.335099986E0
1.620585000E-1,-3.050723663E0,-3.487425596E-1,-4.241917267E0,5.236639986E0
1.720675000E-1,-2.627230299E0,-4.274180156E0,-5.738816460E0,7.622661570E0
1.820755000E-1,-3.759993553E-1,-4.441360238E0,-3.857388285E0,5.894616244E0
1.920835000E-1,6.522253311E-1,-4.047083656E0,3.053024250E-1,4.110656100E0
2.020924999E-1,4.235687935E-1,-1.421320131E0,3.036465228E0,3.379302075E0
2.121005000E-1,-5.912549517E-1,-1.646497575E0,3.983412447E0,4.350644942E0
2.221085000E-1,2.835613078E0,-1.236822351E0,3.399784019E0,4.596625113E0
2.321174999E-1,4.393492884E0,-5.027383393E-1,2.871655023E0,5.272753373E0
2.421255000E-1,8.298453823E0,-4.918671960E-1,1.375000827E0,8.425965611E0
2.521334999E-1,7.687127427E0,-4.144292446E0,-1.995783341E-1,8.735383190E0
2.621415000E-1,3.569024952E0,-7.423187621E0,-2.957155641E0,8.751366924E0
2.721505000E-1,-2.163328581E0,-7.768911847E0,-5.108906443E0,9.546565188E0
2.821584999E-1,-2.851465464E0,-5.943286575E0,-4.544596338E0,8.006676369E0
2.921665000E-1,-2.671594001E0,-4.367819806E0,-2.782912123E0,5.827509267E0
3.021755000E-1,1.411425472E0,-4.713313068E0,-2.913350641E0,5.717958893E0
3.121834999E-1,1.323131931E0,-6.982426844E0,-2.522753127E0,7.541170073E0
3.221915000E-1,9.994153087E-1,-7.240758585E0,-1.902037271E0,7.552824745E0
3.321994999E-1,1.253158156E0,-5.450485579E0,-5.264154696E-1,5.617411473E0
3.422085000E-1,-1.022826098E0,-1.998233909E0,1.295376076E0,2.591739022E0
3.522165000E-1,-2.081319627E0,2.460024197E0,1.234679931E0,3.450803526E0
3.622244999E-1,-6.482135564E0,4.004330569E0,4.370306335E0,8.783639464E0
3.722335000E-1,-4.857457751E0,4.411724210E0,4.206738955E0,7.794540329E0
3.822415000E-1,-3.907125871E0,5.072136812E0,-5.486331350E-1,6.425978737E0
3.922495000E-1,-5.566163970E0,4.083702428E0,4.597095564E-1,6.918825026E0
4.022585000E-1,-1.001376026E1,6.973401666E0,2.680999247E0,1.249365769E1
4.122664999E-1,-1.223052626E1,8.953381737E0,2.643302248E0,1.538622318E1
4.222745000E-1,-1.035454418E1,6.706656951E0,1.397283397E0,1.241564471E1
4.322825000E-1,-6.231627397E0,5.267144963E0,-1.117455536E-1,8.160176661E0
4.422914999E-1,-4.135126351E0,4.259686663E0,2.614087220E0,6.486728944E0
4.522995000E-1,-3.678491553E0,3.173590329E0,4.300406672E0,6.488179500E0
4.623075000E-1,-3.582861803E0,2.557541136E0,4.940437635E0,6.617086926E0
4.723164999E-1,-3.406811495E0,1.357231724E0,5.481778708E0,6.595327157E0
4.823245000E-1,5.612362967E-1,-2.437110713E0,5.145561469E0,5.721127305E0
4.923324999E-1,-7.572585004E-1,-2.359631597E0,2.609032010E0,3.598381544E0
5.023405000E-1,2.917058360E0,-4.605214423E-1,-8.517779374E-1,3.073570420E0
5.123495000E-1,6.262353346E0,-2.475197722E0,3.384485364E-2,6.733856151E0
5.223574999E-1,4.032539876E0,-3.231998166E0,5.012797514E-1,5.192154792E0
5.323655000E-1,2.866020938E0,-2.337023338E0,5.802683258E-1,3.743322779E0
5.423745000E-1,2.275135531E0,-2.017811556E0,1.263319301E0,3.292989647E0
5.523825000E-1,4.582944571E-1,5.034452677E-3,8.599769032E-1,9.744841862E-1
5.623905000E-1,4.250352935E-2,-2.437382609E-1,2.254218578E-1,3.347086850E-1
5.723994999E-1,3.195635209E0,-1.268229500E0,-1.502886450E-1,3.441377214E0
5.824075000E-1,4.528555087E0,-1.586709795E0,-7.091294105E-1,4.850600341E0
5.924155000E-1,3.220766542E0,-1.687583621E0,-2.303764522E0,4.304486794E0
6.024234999E-1,2.656453221E0,-1.852875636E0,-1.880031860E0,3.744918108E0
6.124325000E-1,2.168407619E0,-1.341901494E0,-6.606546772E-1,2.634227747E0
6.224405000E-1,1.549873067E0,-6.852194148E-1,-2.099327298E-1,1.707543242E0
6.324485000E-1,1.120854303E0,-1.467149438E0,-3.031138853E-1,1.871021077E0
6.424575000E-1,1.762759957E0,-2.358379124E0,-1.241479658E0,3.195394576E0
6.524654999E-1,2.871727528E0,-7.980607367E-1,-6.339282238E-1,3.047225776E0
6.624735000E-1,1.704402990E0,7.031996030E-1,1.071124538E0,2.132319631E0
6.724825000E-1,-2.423512867E0,2.926315087E-1,7.707823062E-1,2.559912729E0
6.824904999E-1,-4.299248047E0,1.626215338E0,7.126177132E-1,4.651444302E0
6.924985000E-1,-4.833631809E0,4.511485310E0,-2.459970037E-1,6.616495349E0
7.025064999E-1,-6.916708817E0,4.768099725E0,2.941079307E0,8.900875425E0
7.125155000E-1,-6.439100057E0,2.386024759E0,6.532535055E0,9.477823481E0
7.225235000E-1,-2.932875663E0,-4.338328205E0,1.611874457E0,5.479141405E0
7.325314999E-1,1.065549072E0,-6.941173568E0,-6.000743655E0,9.237110465E0
7.425405000E-1,1.231256240E0,-4.332705522E0,-6.909498031E0,8.247999279E0
7.525485000E-1,1.105640141E0,-1.132792198E0,-5.108513510E0,5.348136925E0
7.625564999E-1,-1.317641981E0,6.826489788E-1,-3.259408159E0,3.581330976E0
7.725655000E-1,-2.686710223E0,8.735880518E-1,3.606627665E-1,2.848095072E0
7.825734999E-1,-2.395183546E0,-3.148404032E-1,2.184251965E0,3.256836708E0
7.925815000E-1,6.567991693E-1,-1.994648981E0,8.359676510E-1,2.260276890E0
8.025895000E-1,1.556169349E0,-1.562455544E0,-1.515411186E-1,2.210406090E0
8.125984999E-1,2.308437178E0,5.895928806E-1,-1.077399770E0,2.614821645E0
8.226065000E-1,1.410129583E0,8.163824022E-1,1.456824424E0,2.185699676E0
8.326145000E-1,-1.439617677E0,4.439223665E-1,3.367340743E0,3.688976796E0
8.426234999E-1,4.736816244E-1,-8.929534453E-1,3.469252449E0,3.613509747E0
8.526315000E-1,9.705784491E-1,-1.117749066E0,3.022777188E0,3.365793730E0
8.626394999E-1,1.625162985E0,-3.277298300E0,-3.680372383E-1,3.676586771E0
8.726475000E-1,2.353732342E0,-3.497592734E0,-2.672558207E0,4.991570719E0
8.826565000E-1,1.547693956E0,-1.670109801E0,-4.406816642E0,4.960308080E0
8.926644999E-1,3.447212832E-1,-3.526338816E-2,-5.198113904E0,5.209651085E0
