"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.878833328E-2	-4.230226636E-2	2.789127713E-1	4.482417047E-2	2.856414221E-1
2.879633335E-2	-6.476595327E-2	4.063680393E-1	1.322664154E0	1.385196765E0
3.880433331E-2	4.532586157E-2	4.054997277E-1	1.811206039E0	1.856596827E0
4.881233326E-2	2.044791048E-1	2.086169600E-1	1.221117314E0	1.255571677E0
5.882133334E-2	3.733370449E-1	1.453939408E-2	2.750027382E-1	4.639164247E-1
6.882933329E-2	3.462694066E-1	-1.593152842E-1	-4.909474289E-1	6.215410201E-1
7.883733325E-2	2.864690550E-1	-1.482090828E-1	-8.527976918E-1	9.117534507E-1
8.884633332E-2	-6.699198827E-2	-1.663863221E-1	-8.441894209E-1	8.630342479E-1
9.885433328E-2	-2.235163233E-1	-2.003957748E-1	-9.325642383E-1	9.796908043E-1
1.088623333E-1	-6.788500428E-2	-8.831517577E-2	-9.170410502E-1	9.237814849E-1
1.188713333E-1	-1.005105673E-1	-3.311921418E-2	-7.787614167E-1	7.859189529E-1
1.288793333E-1	-1.906308516E-1	1.244465831E-1	-2.553420603E-1	3.420915687E-1
1.388873333E-1	-3.341738563E-1	2.854435265E-1	5.227545279E-1	6.829512937E-1
1.488963333E-1	-2.647373664E-1	4.004141119E-1	9.765774000E-1	1.088173126E0
1.589043332E-1	-4.208401904E-2	4.366305962E-1	7.252564698E-1	8.475932334E-1
1.689123333E-1	1.444063461E-1	3.225192592E-1	5.158472121E-2	3.571174160E-1
1.789203333E-1	4.543426895E-1	2.723346537E-1	-4.718404824E-1	7.093848631E-1
1.889293334E-1	3.976461131E-1	1.763727817E-1	-6.071087998E-1	7.468673806E-1
1.989373333E-1	2.889471050E-1	1.033390117E-1	-4.916531879E-1	5.795621088E-1
2.089453333E-1	2.422776264E-1	4.959374428E-2	-2.145770270E-1	3.274160781E-1
2.189543333E-1	1.421483707E-1	9.019534796E-2	-1.128828371E-1	2.026916253E-1
