"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.315708333E-3,4.715568924E0,1.990138439E0,-3.171637359E0,6.021339122E0
1.831570833E-2,4.434370476E0,1.878109880E0,-2.066842799E0,5.240494003E0
2.831570833E-2,4.952893959E0,1.858907624E0,7.089982867E-2,5.290720452E0
3.831570833E-2,3.973261389E0,2.410751465E0,2.728251767E0,5.389052457E0
4.831570833E-2,3.301682358E0,1.510812351E0,5.035668313E0,6.208189407E0
5.831570833E-2,2.230718034E0,1.411186321E0,4.672483715E0,5.366530895E0
6.831570833E-2,1.598594846E0,2.781512300E0,2.640134811E0,4.154831883E0
7.831670833E-2,4.064363347E0,5.941144155E0,-1.702642832E0,7.396974781E0
8.831670833E-2,-1.650868953E0,8.570832331E0,-8.016646680E0,1.185120918E1
9.831670833E-2,-8.153041756E0,5.554116951E0,-9.089041234E0,1.341383523E1
1.083167083E-1,-7.409984023E0,-7.336027855E-1,-8.844397824E0,1.156154873E1
1.183167083E-1,-1.031394345E1,-3.726596012E0,-4.034402214E0,1.168509087E1
1.283167083E-1,-1.297906926E1,-2.537637506E0,-5.735431507E-1,1.323725027E1
1.383167083E-1,-1.296002137E1,-2.652875894E-1,1.002434665E0,1.300143864E1
1.483177083E-1,-1.252436171E1,1.415881636E0,2.646234919E0,1.287893304E1
1.583177083E-1,-1.467854261E1,3.662577186E0,9.145352844E0,1.767799659E1
1.683177083E-1,-6.160304230E0,-7.011513233E-2,4.785934902E0,7.801245876E0
1.783177083E-1,-1.493636740E0,-2.802377504E-1,2.369376128E0,2.814858282E0
1.883177083E-1,-2.265852783E0,1.542730547E0,1.508527259E0,3.128859356E0
1.983177083E-1,-3.414754061E0,1.216503861E0,8.396022803E-1,3.720935222E0
2.083177083E-1,-1.113584095E0,4.853276700E-1,1.267013279E0,1.755259278E0
2.183177083E-1,3.852857863E0,-4.844815779E-1,1.870842376E0,4.310369741E0
2.283187083E-1,8.367425240E0,-1.549930809E0,2.133537894E0,8.773145081E0
2.383187083E-1,1.262485663E1,-2.059199903E0,7.511754227E-1,1.281372599E1
2.483187083E-1,1.453012390E1,-2.719386218E0,-1.669896816E0,1.487642825E1
2.583187083E-1,1.395763471E1,-2.985833310E0,-1.826008265E0,1.438975586E1
2.683187083E-1,1.064701840E1,-1.538476698E0,-1.303192341E-1,1.075838716E1
