"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.670000074E-3,-5.606531831E-1,-4.772819012E-1,1.642955332E0,1.800397797E0
1.267900004E-2,-1.942818165E-1,-6.972369048E-1,1.761218192E0,1.904146592E0
2.268800000E-2,1.490839359E-1,-8.377887663E-1,1.652939453E0,1.859119380E0
3.269700008E-2,5.535527264E-1,-8.387830853E-1,1.241890132E0,1.597582169E0
4.270600004E-2,8.864458597E-1,-8.088333544E-1,5.230521512E-1,1.309038277E0
5.271500000E-2,9.787245706E-1,-8.266123983E-1,-2.508917445E-1,1.305425796E0
6.272400008E-2,1.090292954E0,-9.101027441E-1,-9.584358287E-1,1.713366560E0
7.273300004E-2,1.169662840E0,-1.015011441E0,-1.535750141E0,2.181029087E0
8.274200000E-2,1.235778623E0,-1.088540470E0,-1.847302070E0,2.474791728E0
9.275100008E-2,1.291854005E0,-1.164539948E0,-1.867687218E0,2.552115908E0
1.027600000E-1,1.305673315E0,-1.297577552E0,-1.653216611E0,2.474189862E0
1.127690000E-1,1.208719024E0,-1.467445891E0,-1.343391949E0,2.327896272E0
1.227780001E-1,1.085089370E0,-1.573437785E0,-1.169188777E0,2.240564170E0
1.327880000E-1,8.938471922E-1,-1.575797721E0,-1.130322334E0,2.135352392E0
1.427970000E-1,7.357796308E-1,-1.502065501E0,-1.115244704E0,2.010309226E0
1.528060001E-1,6.647203924E-1,-1.403104008E0,-9.999621695E-1,1.846748060E0
1.628150000E-1,5.555916139E-1,-1.369935677E0,-8.028642243E-1,1.682259422E0
1.728240000E-1,4.327456696E-1,-1.340290001E0,-6.765006316E-1,1.562465746E0
1.828330001E-1,2.955128704E-1,-1.293687400E0,-6.801469553E-1,1.491158887E0
1.928420000E-1,2.605631488E-1,-1.219686793E0,-7.930689687E-1,1.478001156E0
2.028510000E-1,2.929982388E-1,-1.085580609E0,-9.250634301E-1,1.456047931E0
2.128600001E-1,3.324011267E-1,-9.197313541E-1,-1.045746453E0,1.431775791E0
2.228690000E-1,3.947078142E-1,-7.677873623E-1,-1.307406430E0,1.566717353E0
2.328776250E-1,5.720730876E-1,-6.239327011E-1,-1.694127824E0,1.893839676E0
2.428866250E-1,6.310440116E-1,-4.474242640E-1,-2.142958928E0,2.278305946E0
2.528956251E-1,5.070638902E-1,-2.835417196E-1,-2.579037255E0,2.643660882E0
2.629046250E-1,3.597693850E-1,-1.248450708E-1,-2.806323205E0,2.832043473E0
2.729136250E-1,2.250909785E-1,-1.326177746E-2,-2.816514317E0,2.825525566E0
2.829226251E-1,1.565328135E-1,7.278204739E-2,-2.549259140E0,2.555097241E0
2.929316250E-1,1.133530263E-1,1.422507700E-1,-2.087649531E0,2.095558339E0
3.029406250E-1,1.509015063E-1,2.757096666E-1,-1.577520896E0,1.608527047E0
3.129496251E-1,1.944164121E-1,3.956354749E-1,-1.175562242E0,1.255496617E0
3.229586250E-1,2.612687250E-1,4.987034681E-1,-9.500678784E-1,1.104352964E0
3.329676250E-1,2.268050898E-1,6.258935648E-1,-8.529690152E-1,1.082007137E0
3.429766251E-1,2.299036755E-1,7.727633429E-1,-7.879199106E-1,1.127313918E0
3.529856250E-1,1.908279028E-1,8.669681266E-1,-7.385571313E-1,1.154779484E0
3.629946250E-1,9.638089813E-2,9.158514342E-1,-6.940785313E-1,1.153177408E0
3.730036251E-1,2.878438085E-2,8.829792649E-1,-4.470892185E-1,9.901361987E-1
3.830126250E-1,-3.563410163E-2,8.525395373E-1,-2.496527195E-2,8.536490594E-1
3.930216250E-1,-1.076680709E-1,8.273535329E-1,2.524359941E-1,8.716824038E-1
4.030306251E-1,-1.040941796E-1,7.761512196E-1,4.038233310E-1,8.810900048E-1
4.130396250E-1,-2.767940328E-2,8.392926702E-1,4.609196377E-1,9.579275797E-1
4.230486250E-1,2.039026424E-2,9.240395826E-1,4.416127163E-1,1.024346965E0
4.330576251E-1,-7.668126315E-2,9.741136757E-1,4.862275565E-1,1.091418667E0
4.430666250E-1,-1.707147235E-1,9.458456039E-1,6.355964345E-1,1.152280457E0
4.530756250E-1,-1.833449285E-1,1.008728023E0,8.867752773E-1,1.355550803E0
4.630846251E-1,-8.123251654E-2,1.165351834E0,9.353288019E-1,1.496490423E0
4.730936250E-1,6.977365494E-2,1.336035567E0,7.484646535E-1,1.532990129E0
4.831026250E-1,2.376062127E-1,1.586501342E0,4.970437360E-1,1.679433147E0
4.931116251E-1,3.003148963E-1,1.757371894E0,3.291795301E-1,1.812982121E0
5.031216250E-1,2.691729911E-1,1.627597620E0,2.477740091E-1,1.668208641E0
5.131306250E-1,6.078049108E-2,1.240568077E0,3.148497587E-1,1.281340623E0
5.231396251E-1,-2.844440181E-1,7.899778381E-1,5.314516765E-1,9.936872086E-1
5.331486251E-1,-6.233899333E-1,2.776322311E-1,1.170867512E0,1.355221530E0
5.431576250E-1,-8.507064351E-1,-2.679898801E-1,2.221820911E0,2.394161267E0
